,City,Cloudyness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
68,Russell,0,AR,1538938800,35,-33.01,-68.8,87.8,6.93
69,Butaritari,0,KI,1538944002,100,3.07,172.79,83.41,6.2
70,Sao Filipe,0,CV,1538944002,94,14.9,-24.5,80.53,11.12
71,Hilo,90,US,1538942820,93,19.71,-155.08,75.02,6.93
72,High Level,75,CA,1538942400,68,58.52,-117.13,30.2,14.99
73,Vaini,32,IN,1538944003,91,15.34,74.49,68.38,1.61
74,Teacapan,32,MX,1538944003,73,22.54,-105.74,85.3,3.62
75,Camopi,0,GF,1538944003,58,3.17,-52.33,87.82,3.29
76,Vila Franca do Campo,20,PT,1538942400,83,37.72,-25.43,69.8,9.17
77,Arraial do Cabo,75,BR,1538938800,83,-22.97,-42.02,71.6,13.87
78,Pankrushikha,32,RU,1538944004,89,53.83,80.35,43.63,13.24
79,Lafiagi,36,NG,1538944004,93,8.85,5.42,75.13,4.85
80,New Norfolk,0,AU,1538942400,76,-42.78,147.06,51.8,8.05
81,Hokitika,88,NZ,1538944005,100,-42.72,170.96,50.29,10.22
82,Presidencia Roque Saenz Pena,76,AR,1538944005,61,-26.79,-60.44,82.42,5.75
83,Kyren,0,RU,1538944005,63,51.68,102.13,5.83,1.95
84,Dwarka,0,IN,1538942400,65,28.58,77.04,77.0,2.73
85,Longyearbyen,20,NO,1538941800,79,78.22,15.63,21.2,2.28
86,Ugoofaaru,80,MV,1538944026,100,5.67,73.0,80.71,10.78
87,Hithadhoo,88,MV,1538944026,100,-0.6,73.08,80.98,15.7
88,Saint George,20,GR,1538941800,87,39.45,22.34,59.0,2.84
89,Puerto Ayora,0,EC,1538942400,54,-0.74,-90.35,80.6,13.87
90,Kushiro,92,JP,1538944027,99,43.11,144.15,49.84,3.06
91,Monkey Bay,0,MW,1538944027,93,-14.08,34.91,78.64,17.27
92,Darhan,64,MN,1538944027,86,49.49,105.92,25.36,3.74
93,Namibe,0,AO,1538944027,100,-15.19,12.15,69.1,13.47
94,Mayumba,32,GA,1538944027,99,-3.44,10.65,75.58,5.64
95,Orchard Homes,75,US,1538941980,48,46.86,-114.05,55.04,5.82
96,Codrington,44,AU,1538944028,99,-28.95,153.24,60.1,3.4
97,Meulaboh,8,ID,1538944028,100,4.14,96.13,77.74,3.85
98,Castro,92,CL,1538944029,100,-42.48,-73.76,48.04,8.43
99,Tuktoyaktuk,5,CA,1538942400,73,69.44,-133.03,26.6,13.87
100,Tandlianwala,0,PK,1538944029,73,31.03,73.13,69.55,3.62
101,Ambon,40,FR,1538942400,76,47.55,-2.56,57.2,9.17
102,Agirish,0,RU,1538944030,94,61.92,63.02,30.04,5.08
103,Zimovniki,0,RU,1538944030,70,47.15,42.46,44.98,10.89
104,Edd,0,ER,1538944030,58,13.93,41.69,67.03,0.83
105,Scarborough,56,GB,1538941800,71,54.28,-0.41,51.8,12.75
106,Ferkessedougou,0,CI,1538944030,88,9.6,-5.2,76.66,3.06
107,Nikolskoye,0,RU,1538940600,86,59.7,30.79,37.4,8.95
108,Hamilton,20,BM,1538942100,65,32.3,-64.78,78.8,6.93
109,Seoul,0,KR,1538942400,81,37.57,126.98,53.6,1.12
110,Arcoverde,0,BR,1538944031,35,-8.42,-37.06,81.97,9.66
111,Talnakh,100,RU,1538944031,81,69.49,88.39,43.54,21.07
112,Pimentel,24,BR,1538944032,80,-3.7,-45.5,82.06,2.51
113,Axim,92,GH,1538944032,100,4.87,-2.24,78.64,9.44
114,Divo,76,CI,1538944032,95,5.83,-5.36,73.87,3.96
115,Ahuimanu,20,US,1538942220,76,21.44,-157.84,84.92,9.17
116,Santa Rosalia,40,IT,1538942100,83,38.07,13.27,69.8,2.24
117,Avarua,40,CK,1538942400,78,-21.21,-159.78,78.8,9.17
118,Soyo,8,AO,1538944033,86,-6.13,12.37,75.94,5.41
119,Ilulissat,48,GL,1538941800,79,69.22,-51.1,28.4,11.41
120,Kahului,40,US,1538943180,61,20.89,-156.47,87.98,11.41
121,Shirokiy,0,RU,1538944034,64,53.87,39.17,52.81,19.06
122,Puksoozero,76,RU,1538944034,96,62.59,40.61,33.55,6.2
123,Vardo,1,US,1538942400,55,39.62,-77.74,87.8,5.82
124,Shimanovsk,8,RU,1538944034,76,52.0,127.67,25.0,3.18
125,Luau,8,CD,1538944034,50,-10.7,22.23,71.17,3.74
126,Den Helder,90,NL,1538942100,100,52.96,4.76,55.4,1.12
127,Tak,64,TH,1538944035,90,16.87,99.12,73.24,2.28
128,Amapa,90,HN,1538942400,88,15.09,-87.97,69.8,4.7
129,Isiro,56,CD,1538944035,96,2.77,27.62,70.27,2.17
130,Iqaluit,90,CA,1538942400,86,63.75,-68.52,30.2,5.82
131,Lavrentiya,88,RU,1538944036,99,65.58,-170.99,43.72,8.21
132,Thompson,90,CA,1538942400,79,55.74,-97.86,28.4,8.05
133,Carnarvon,24,ZA,1538944056,18,-30.97,22.13,66.58,6.53
134,Mahebourg,20,MU,1538942400,83,-20.41,57.7,69.8,4.7
135,Paamiut,20,GL,1538944057,100,61.99,-49.67,36.61,15.26
136,Mar del Plata,92,AR,1538944057,52,-46.43,-67.52,55.51,16.15
137,Te Anau,20,NZ,1538944057,98,-45.41,167.72,41.29,3.62
138,San Jose,36,PH,1538943962,96,15.79,120.99,69.82,1.39
139,Aksay,0,RU,1538944059,65,47.27,39.86,46.69,10.45
140,Karratha,0,AU,1538944059,30,-20.74,116.85,72.07,10.22
141,Souillac,0,FR,1538942400,82,45.6,-0.6,59.0,6.93
142,Hovd,0,NO,1538941800,52,63.83,10.7,46.4,24.16
143,Kidal,0,ML,1538944060,18,18.44,1.41,82.87,11.12
144,Bud,75,NO,1538941800,94,62.91,6.91,50.0,6.93
145,Sitka,92,US,1538944060,100,37.17,-99.65,64.42,12.68
146,Chapais,90,CA,1538942400,69,49.78,-74.86,35.6,4.7
147,Vila Velha,0,BR,1538942400,69,-3.71,-38.6,82.4,18.34
148,Custoias,0,PT,1538944061,45,41.11,-7.32,54.79,7.54
149,Bredasdorp,80,ZA,1538942400,88,-34.53,20.04,64.4,10.29
150,Portland,90,US,1538942700,86,45.52,-122.67,55.94,3.36
151,Sisimiut,0,GL,1538944061,100,66.94,-53.67,18.43,2.73
152,Saint-Philippe,90,CA,1538942400,76,45.36,-73.48,50.0,8.05
153,Rocha,0,UY,1538944062,58,-34.48,-54.34,71.26,6.98
154,Payo,20,ID,1538944062,68,-3.75,103.64,77.65,4.41
155,Richards Bay,0,ZA,1538944062,99,-28.77,32.06,60.91,6.42
156,Anjozorobe,40,MG,1538942400,88,-18.4,47.88,64.4,6.93
157,Torbay,40,CA,1538942400,100,47.66,-52.73,48.2,11.41
158,Curup,56,ID,1538944063,82,-3.47,102.53,72.34,1.72
159,Brae,8,GB,1538941800,100,60.4,-1.35,53.6,26.4
160,Fairbanks,90,US,1538942280,21,64.84,-147.72,37.4,3.36
161,Yulara,90,AU,1538942400,50,-25.24,130.99,75.2,10.29
162,Keetmanshoop,92,NA,1538944064,12,-26.57,18.15,77.38,7.76
163,Wanning,75,AT,1538941800,93,48.64,13.53,57.2,1.12
164,Acultzingo,100,MX,1538944064,65,18.72,-97.3,70.81,2.28
165,Suraabad,0,AZ,1538940600,67,40.82,49.47,62.6,11.41
166,Zhicheng,56,CN,1538944065,76,35.04,112.59,57.4,2.84
167,Naryan-Mar,24,RU,1538944065,96,67.67,53.09,38.77,16.26
168,Chaykovskaya,40,RU,1538938800,93,58.13,55.54,42.8,6.71
169,Tipuani,12,BO,1538944065,70,-15.56,-68.02,76.12,2.17
170,Cherskiy,92,RU,1538944065,93,68.75,161.3,30.76,6.31
171,Ostrovnoy,0,RU,1538944066,92,68.05,39.51,25.45,11.68
172,Itarema,0,BR,1538944066,62,-2.92,-39.92,83.68,18.61
173,Pandan,32,PH,1538944066,100,11.72,122.09,80.8,9.78
174,Taunggyi,44,MM,1538944066,95,20.78,97.03,59.56,2.95
175,Zhezkazgan,0,KZ,1538944067,77,47.8,67.71,28.87,3.62
176,Tuatapere,12,NZ,1538944067,100,-46.13,167.69,45.16,12.35
177,Saint-Augustin,40,FR,1538942400,93,44.83,-0.61,57.2,6.93
178,San Carlos de Bariloche,75,AR,1538942400,81,-41.13,-71.31,44.6,18.34
179,General Roca,0,AR,1538938800,21,-39.03,-67.58,80.6,5.82
180,Luckenwalde,0,DE,1538941800,81,52.09,13.16,46.4,4.7
181,Carutapera,76,BR,1538944088,78,-1.2,-46.02,81.61,10.33
182,Mpika,0,ZM,1538944088,33,-11.84,31.4,66.76,13.24
183,Kavaratti,92,IN,1538944088,100,10.57,72.64,76.93,11.68
184,Sibolga,64,ID,1538944088,100,1.74,98.78,69.01,1.5
185,Georgetown,20,GY,1538942400,59,6.8,-58.16,89.6,13.87
186,Kavieng,76,PG,1538944089,100,-2.57,150.8,81.97,3.06
187,Vostok,0,RU,1538944089,85,46.45,135.83,32.2,2.06
188,Dunedin,68,NZ,1538943896,93,-45.87,170.5,43.45,3.62
189,Panguna,80,PG,1538944089,96,-6.32,155.48,74.05,2.95
190,San Javier,75,ES,1538942400,60,37.81,-0.83,71.6,11.41
191,Quatre Cocos,20,MU,1538942400,83,-20.21,57.76,69.8,4.7
192,Westport,90,IE,1538942400,100,53.8,-9.52,53.6,14.99
193,Springdale,20,US,1538942460,67,36.19,-94.13,80.96,14.99
194,Alyangula,0,AU,1538944091,100,-13.85,136.42,76.84,5.75
195,Gboko,36,NG,1538944091,76,7.32,9.0,79.99,14.92
196,Itoman,20,JP,1538942400,83,26.12,127.67,75.2,6.93
197,Taltal,24,CL,1538944092,72,-25.41,-70.49,66.31,2.95
198,Fare,44,PF,1538944092,99,-16.7,-151.02,78.91,11.68
199,Nuevo Progreso,75,US,1538942100,44,26.05,-97.95,96.08,17.22
200,Dunda,0,IN,1538944092,88,30.62,78.32,41.29,2.17
201,Ratnagiri,44,IN,1538943855,98,16.98,73.3,83.86,7.65
202,Tateyama,100,JP,1538944092,100,36.66,137.31,57.49,2.28
203,Upernavik,88,GL,1538944093,100,72.79,-56.15,33.82,21.52
204,Welwyn Garden City,0,GB,1538941800,70,51.8,-0.21,48.2,6.93
205,Bemidji,90,US,1538943300,82,47.48,-94.89,46.04,8.05
206,Iroquois Falls,90,CA,1538942400,74,48.76,-80.69,39.2,5.82
207,Beringovskiy,92,RU,1538944094,100,63.05,179.32,45.79,6.76
208,Sharkan,92,RU,1538944094,98,57.3,53.87,42.64,5.97
209,Bosanska Gradiska,0,BA,1538942400,100,45.14,17.25,59.0,3.36
210,Port Lincoln,80,AU,1538944094,99,-34.72,135.86,57.4,14.81
211,Rize,0,TR,1538941800,82,41.02,40.52,60.8,4.7
212,Villacarrillo,0,ES,1538944095,53,38.12,-3.08,53.8,5.53
213,Biak,44,ID,1538944095,100,-0.91,122.88,75.13,3.51
214,Buala,88,SB,1538944095,95,-8.15,159.59,81.34,7.76
215,Boa Vista,40,BR,1538942400,39,2.82,-60.67,95.0,6.93
216,Faanui,56,PF,1538944096,100,-16.48,-151.75,79.09,10.67
217,Batagay-Alyta,88,RU,1538944096,79,67.8,130.41,15.73,3.4
218,Provideniya,90,RU,1538940600,87,64.42,-173.23,46.4,2.24
219,Borova,0,UA,1538942400,75,50.18,30.1,53.6,8.95
220,Natal,20,BR,1538942400,65,-5.81,-35.21,82.4,19.46
221,Birjand,0,IR,1538938800,47,32.86,59.22,59.0,4.7
222,Sao Joao da Barra,75,BR,1538938800,73,-21.64,-41.05,75.2,17.22
223,Chase,90,US,1538943420,93,43.89,-85.64,55.04,5.82
224,San Francisco,20,US,1538942280,26,37.78,-122.42,80.96,18.34
225,Fort Nelson,90,CA,1538942400,86,58.81,-122.69,26.6,9.17
226,Leningradskiy,80,RU,1538944120,98,69.38,178.42,35.89,8.77
227,Isla Vista,1,US,1538942160,63,34.41,-119.86,75.2,11.41
228,Ancud,92,CL,1538944120,97,-41.87,-73.83,49.57,11.01
229,Mountain Home,1,US,1538942400,42,43.13,-115.69,60.08,17.22
230,Cabedelo,20,BR,1538942400,74,-6.97,-34.84,78.8,16.11
231,North Platte,90,US,1538941980,95,41.12,-100.77,44.06,9.17
232,Suarez,75,CO,1538942400,61,4.05,-74.83,82.4,5.82
233,Nioro,0,GM,1538944121,82,13.79,-15.05,82.87,1.16
234,Cabo San Lucas,5,MX,1538941500,58,22.89,-109.91,93.2,11.41
235,Grand Gaube,20,MU,1538942400,83,-20.01,57.66,69.8,4.7
236,Poum,36,MK,1538944122,92,41.28,20.71,46.96,1.95
237,Martinez,40,US,1538942280,3,38.01,-122.13,82.4,13.87
238,Port Keats,0,AU,1538944122,89,-14.25,129.55,74.23,8.21
239,Beian,0,NO,1538941800,52,63.66,9.57,46.4,18.34
240,Saravan,8,AM,1538942400,47,39.72,45.65,59.0,13.87
241,Katsuura,75,JP,1538941440,83,33.93,134.5,71.6,6.93
242,Mahanoro,92,MG,1538944123,89,-19.9,48.8,70.72,3.62
243,Hofn,0,IS,1538944123,100,64.25,-15.21,42.01,18.28
244,Moron,40,VE,1538942400,55,10.49,-68.2,89.6,3.4
245,Samarai,0,PG,1538944124,100,-10.62,150.67,76.57,12.91
246,Narasannapeta,0,IN,1538944124,99,18.42,84.04,71.98,2.51
247,Zhigansk,80,RU,1538944124,98,66.77,123.37,30.22,3.4
248,Colac,0,AU,1538944125,80,-38.34,143.59,56.05,3.4
249,Kadyy,92,RU,1538944125,90,57.79,43.19,51.91,15.93
250,Half Moon Bay,20,US,1538942160,26,37.46,-122.43,80.06,18.34
251,Makakilo City,40,US,1538942220,65,21.35,-158.09,84.92,5.82
252,Dhidhdhoo,92,MV,1538944125,100,6.88,73.1,79.27,9.22
253,Manaure,75,CO,1538942400,74,11.78,-72.45,86.0,9.17
254,Buarcos,0,PT,1538942400,71,40.16,-8.88,57.2,4.7
255,Myski,0,RU,1538944126,83,53.71,87.8,39.58,4.41
256,Altamira,40,BR,1538942400,66,-3.2,-52.21,87.8,3.36
257,Port Macquarie,0,AU,1538942400,93,-31.43,152.91,55.4,4.29
258,Esperance,20,TT,1538942400,83,10.24,-61.45,82.4,6.93
259,Tanout,0,NE,1538944127,23,14.97,8.88,79.81,6.64
260,Luanda,20,AO,1538942400,83,-8.83,13.24,75.2,8.05
261,Pisco,75,PE,1538942400,30,-13.71,-76.2,71.6,6.93
262,Khatanga,36,RU,1538944128,84,71.98,102.47,43.63,15.82
263,Bucerias,75,MX,1538941680,59,20.76,-105.33,89.6,8.05
264,Les Cayes,92,HT,1538943909,100,18.19,-73.75,74.32,7.99
265,Khandyga,32,RU,1538944128,83,62.65,135.58,17.26,1.95
266,Poso,100,ID,1538944128,100,-1.4,120.75,74.41,5.41
267,Andover,90,US,1538943360,72,42.66,-71.14,73.04,10.29
268,Kaitangata,0,NZ,1538944129,82,-46.28,169.85,46.87,8.99
269,Acopiara,8,BR,1538944149,31,-6.09,-39.45,88.81,9.22
270,Rajgarh,8,IN,1538944149,69,24.01,76.73,70.18,4.41
271,Kralendijk,75,BQ,1538942100,70,12.15,-68.27,86.0,14.99
272,Anori,44,BR,1538944150,77,-3.74,-61.66,85.66,4.18
273,Progreso,0,UY,1538942400,38,-34.68,-56.22,77.0,11.41
274,Nishihara,90,JP,1538942400,70,35.74,139.53,73.4,4.7
275,Palm Coast,40,US,1538942160,70,29.55,-81.22,84.92,16.11
276,Nogliki,92,RU,1538944151,100,51.8,143.14,46.6,10.78
277,Cabadiangan,90,PH,1538942400,88,10.45,123.98,78.8,19.46
278,Zyryanka,76,RU,1538944152,95,65.73,150.89,27.25,2.84
279,Teya,40,MX,1538941740,70,21.05,-89.07,86.0,6.93
280,Glebychevo,0,RU,1538944152,100,60.44,28.72,34.36,5.97
281,Hambantota,92,LK,1538944154,100,6.12,81.12,77.56,13.69
282,Angoche,92,MZ,1538944154,100,-16.23,39.91,76.93,18.16
283,Roald,0,NO,1538941800,53,62.58,6.12,50.0,13.87
284,Bhasawar,0,IN,1538944155,78,27.03,77.03,68.29,2.28
285,Cliza,75,BO,1538942400,42,-17.59,-65.93,68.0,13.87
286,Kodiak,90,US,1538941980,100,39.95,-94.76,60.08,3.36
287,Kuytun,0,RU,1538944155,79,54.34,101.51,21.58,2.62
288,Inhambane,40,MZ,1538938800,73,-23.87,35.38,71.6,4.7
289,Papayal,75,EC,1538942400,49,-2.43,-79.18,69.8,5.82
290,Pacific Grove,1,US,1538942100,42,36.62,-121.92,78.8,9.17
291,Shieli,0,KZ,1538944156,71,44.18,66.74,34.36,4.63
292,Haverfordwest,80,GB,1538938200,76,51.8,-4.97,57.2,19.46
293,Pokhara,0,NP,1538944156,75,28.21,83.99,45.34,2.17
294,Kulunda,0,RU,1538944156,82,52.57,78.94,42.28,11.79
295,Bang Saphan,68,TH,1538944157,98,11.21,99.51,77.02,2.39
296,Dogondoutchi,0,NE,1538944157,73,13.64,4.03,80.62,2.95
297,Airai,0,TL,1538944157,68,-8.93,125.41,55.51,1.83
298,Innisfail,75,CA,1538942400,40,52.02,-113.95,51.8,10.29
299,Honningsvag,75,NO,1538941800,80,70.98,25.97,39.2,17.22
300,Puerto Narino,40,CO,1538942400,74,-3.77,-70.38,86.0,3.36
301,Tarakan,12,ID,1538944158,100,3.3,117.63,80.44,2.51
302,Myitkyina,88,MM,1538944158,100,25.38,97.4,69.73,2.06
303,Isangel,36,VU,1538944158,100,-19.55,169.27,74.14,11.9
304,Lodja,12,CD,1538944158,93,-3.52,23.6,73.69,3.18
305,Central Point,1,US,1538942160,53,42.38,-122.91,59.0,2.73
306,Suntar,68,RU,1538944159,92,62.16,117.65,31.66,4.29
307,Victoria,75,BN,1538942400,88,5.28,115.24,80.6,9.22
308,Immokalee,20,US,1538941980,48,26.42,-81.42,89.96,11.41
309,Tianpeng,36,CN,1538944180,73,28.88,112.34,65.14,5.41
310,Broken Hill,0,AU,1538944180,47,-31.97,141.45,59.65,10.45
311,Mumford,44,GH,1538944180,97,5.26,-0.76,75.58,5.08
312,Salinas,1,US,1538942100,31,36.67,-121.66,78.8,9.17
313,La Primavera,0,AR,1538938800,35,-32.92,-68.67,87.8,6.93
314,Ambovombe,0,MG,1538944181,89,-25.18,46.09,71.44,19.95
315,Kasiri,68,SL,1538944182,100,8.94,-13.11,78.1,5.64
316,Bandarbeyla,0,SO,1538944182,98,9.49,50.81,76.12,3.62
317,Mahibadhoo,76,MV,1538944182,94,3.78,72.97,84.13,17.38
318,Naze,40,NG,1538942400,94,5.43,7.07,78.8,5.82
319,Road Town,40,VG,1538942400,74,18.42,-64.62,84.2,8.05
320,Beira,0,ES,1538942400,62,43.2,-8.36,53.6,3.36
321,Nome,75,US,1538942100,59,30.04,-94.42,89.78,13.87
322,Sawakin,24,SD,1538944183,91,19.1,37.33,79.99,4.63
323,Sur,0,OM,1538944183,91,22.57,59.53,84.31,4.63
324,Hualmay,0,PE,1538944184,66,-11.1,-77.61,69.28,5.08
325,Daru,76,SL,1538944184,95,7.99,-10.85,74.05,4.63
326,Eydhafushi,80,MV,1538944184,100,5.1,73.07,80.71,10.78
327,Norman Wells,75,CA,1538942400,59,65.28,-126.83,33.8,20.8
328,Bam,0,IR,1538944185,55,29.11,58.36,59.56,6.53
329,Tocopilla,8,CL,1538944185,76,-22.09,-70.2,68.29,5.19
330,Tiksi,36,RU,1538944185,100,71.64,128.87,20.41,2.95
331,Eureka,1,US,1538942100,60,40.8,-124.16,64.4,18.34
332,Prado,0,BR,1538944186,95,-17.34,-39.22,77.65,11.56
333,Ritchie,0,ZA,1538942400,18,-29.03,24.6,68.0,6.42
334,Casper,90,US,1538941980,100,42.87,-106.31,35.06,11.41
335,Ahipara,0,NZ,1538944186,86,-35.17,173.16,58.21,5.97
336,Xuddur,76,SO,1538944186,48,4.12,43.89,80.89,7.99
337,Lebu,40,ET,1538938800,44,8.96,38.73,60.8,4.7
338,Salekhard,44,RU,1538944187,87,66.54,66.62,33.37,12.8
339,Capinopolis,32,BR,1538944187,85,-18.68,-49.57,75.22,4.74
340,Tondi,24,NG,1538944187,82,10.88,4.75,79.63,2.95
341,Derzhavinsk,32,KZ,1538944187,61,51.1,66.31,43.9,14.81
342,Lagoa,0,PT,1538942400,37,37.14,-8.45,71.6,9.17
343,Tifton,40,US,1538942880,44,31.45,-83.51,89.96,9.17
344,Tazovskiy,68,RU,1538944188,82,67.47,78.7,40.75,14.81
345,Solnechnyy,88,RU,1538944189,99,50.72,136.64,44.26,3.74
346,Henties Bay,0,NA,1538944189,92,-22.12,14.28,60.46,3.74
347,Santander,68,PH,1538943897,100,9.42,123.33,79.72,7.65
348,Belyy Yar,0,RU,1538940600,93,53.6,91.39,35.6,2.73
349,Turukhansk,92,RU,1538944190,78,65.8,87.96,46.87,12.68
350,Kotka,0,FI,1538941800,99,60.47,26.95,33.8,3.36
351,Komsomolskiy,92,RU,1538944190,98,67.55,63.78,35.26,16.04
352,Zhangye,0,CN,1538944190,38,38.94,100.46,35.89,9.22
353,Margate,0,AU,1538942400,76,-43.03,147.26,51.8,8.05
354,Muros,0,ES,1538942400,66,42.77,-9.06,50.0,10.29
355,Neiafu,20,TO,1538942400,83,-18.65,-173.98,77.0,2.95
356,Arlit,36,NE,1538944211,18,18.74,7.39,86.02,6.64
357,Viedma,44,AR,1538944211,22,-40.81,-62.99,77.56,11.68
358,Labuhan,24,ID,1538944212,96,-2.54,115.51,68.2,1.72
359,Orlik,0,RU,1538944212,52,52.51,99.83,3.49,1.72
360,Bathsheba,20,BB,1538942400,74,13.22,-59.52,82.4,18.34
361,Nizwa,0,OM,1538944213,43,22.93,57.53,66.58,1.61
362,Campo Verde,0,PE,1538944213,42,-8.47,-74.81,93.49,4.18
363,Ludvika,12,SE,1538941800,100,60.15,15.18,30.2,4.7
364,Najran,0,SA,1538942400,17,17.54,44.22,77.0,2.51
365,Tete,0,MZ,1538944145,51,-16.16,33.59,74.68,11.01
366,Hasaki,75,JP,1538940600,73,35.73,140.83,71.6,6.93
367,Ambilobe,8,MG,1538944215,82,-13.19,49.05,70.72,3.4
368,Teruel,0,ES,1538942400,44,40.34,-1.11,60.8,4.7
369,Buraydah,0,SA,1538942400,32,26.33,43.97,80.6,2.24
370,Lompoc,1,US,1538942160,54,34.64,-120.46,82.94,20.8
371,Palmer,90,US,1538942160,88,61.6,-149.11,48.02,3.36
372,Shenzhen,20,CN,1538942400,74,22.54,114.05,78.8,8.05
373,Coahuayana,24,MX,1538944217,81,18.62,-100.35,79.09,3.18
374,Bubaque,40,GW,1538942400,79,11.28,-15.83,84.2,4.7
375,Nyuksenitsa,92,RU,1538944217,98,60.41,44.24,41.56,2.73
